Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
50.0,-20308.40449,11796.83536,1264.94856,4896.00342,-2350.61715,4200.42666,4199.63165, 
50.1,-20308.40449,11817.26038,1258.09929,4886.23111,-2346.81372,4196.62323,4195.82822, 
50.2,-20308.40449,11837.59344,1251.58756,4876.49735,-2342.72614,4192.53564,4191.74064, 
50.3,-20308.40449,11857.83175,1245.38374,4866.80268,-2338.38633,4188.19584,4187.40083, 
50.4,-20308.40449,11877.97921,1239.46239,4857.14610,-2333.81679,4183.62629,4182.83129, 
50.5,-20308.40449,11898.03308,1233.80444,4847.52814,-2329.03884,4178.84835,4178.05334, 
50.6,-20308.40449,11917.99561,1228.39384,4837.94819,-2324.06685,4173.87636,4173.08135, 
50.7,-20308.40449,11937.86908,1223.21771,4828.40567,-2318.91203,4168.72154,4167.92653, 
50.8,-20308.40449,11957.65079,1218.26619,4818.90107,-2313.58643,4163.39594,4162.60093, 
50.9,-20308.40449,11977.34468,1213.52975,4809.43347,-2308.09659,4157.90610,4157.11109, 
51.0,-20308.40449,11996.94809,1209.00012,4800.00335,-2302.45293,4152.26244,4151.46743, 
51.1,-20308.40449,12016.46332,1204.66990,4790.61014,-2296.66113,4146.47064,4145.67563, 
51.2,-20308.40449,12035.89267,1200.53230,4781.25327,-2290.72626,4140.53577,4139.74076, 
51.3,-20308.40449,12055.23352,1196.58178,4771.93323,-2284.65597,4134.46548,4133.67047, 
51.4,-20308.40449,12074.48981,1192.81246,4762.64910,-2278.45312,4128.26263,4127.46762, 
51.5,-20308.40449,12093.65896,1189.21909,4753.40138,-2272.12506,4121.93457,4121.13956, 
51.6,-20308.40449,12112.74328,1185.79585,4744.18950,-2265.67586,4115.48537,4114.69036, 
51.7,-20308.40449,12131.74505,1182.53743,4735.01291,-2259.10910,4108.91861,4108.12360, 
51.8,-20308.40449,12150.66174,1179.43869,4725.87209,-2252.43197,4102.24148,4101.44647, 
51.9,-20308.40449,12169.49724,1176.49391,4716.76616,-2245.64718,4095.45669,4094.66168, 
52.0,-20308.40449,12188.24903,1173.69814,4707.69559,-2238.76173,4088.57124,4087.77623, 
52.1,-20308.40449,12206.91939,1171.04655,4698.65985,-2231.77871,4081.58821,4080.79321, 
52.2,-20308.40449,12225.51062,1168.53435,4689.65838,-2224.70114,4074.51065,4073.71564, 
52.3,-20308.40449,12244.02019,1166.15675,4680.69167,-2217.53588,4067.34539,4066.55038, 
52.4,-20308.40449,12262.45197,1163.90866,4671.75885,-2210.28501,4060.09452,4059.29951, 
52.5,-20308.40449,12280.80345,1161.78561,4662.86040,-2202.95504,4052.76455,4051.96954, 
52.6,-20308.40449,12299.07689,1159.78272,4653.99578,-2195.54910,4045.35861,4044.56360, 
52.7,-20308.40449,12317.27456,1157.89525,4645.16447,-2188.07021,4037.87972,4037.08471, 
52.8,-20308.40449,12335.39394,1156.11825,4636.36694,-2180.52536,4030.33487,4029.53986, 
52.9,-20308.40449,12353.43885,1154.44741,4627.60234,-2172.91588,4022.72539,4021.93038, 
53.0,-20308.40449,12371.40679,1152.87851,4618.87115,-2165.24804,4015.05755,4014.26254, 
53.1,-20308.40449,12389.29999,1151.40729,4610.17284,-2157.52437,4007.33388,4006.53887, 
53.2,-20308.40449,12407.12064,1150.02911,4601.50691,-2149.74783,3999.55734,3998.76233, 
53.3,-20308.40449,12424.86625,1148.73955,4592.87382,-2141.92487,3991.73438,3990.93937, 
53.4,-20308.40449,12442.54058,1147.53484,4584.27273,-2134.05634,3983.86585,3983.07084, 
53.5,-20308.40449,12460.14110,1146.41137,4575.70413,-2126.14789,3975.95739,3975.16239, 
53.6,-20308.40449,12477.67001,1145.36545,4567.16750,-2118.20153,3968.01104,3967.21603, 
53.7,-20308.40449,12495.12945,1144.39320,4558.66234,-2110.21951,3960.02902,3959.23401, 
53.8,-20308.40449,12512.51690,1143.49111,4550.18911,-2102.20736,3952.01687,3951.22186, 
53.9,-20308.40449,12529.83606,1142.65549,4541.74701,-2094.16593,3943.97544,3943.18043, 
54.0,-20308.40449,12547.08440,1141.88305,4533.33650,-2086.10054,3935.91005,3935.11504, 
54.1,-20308.40449,12564.26403,1141.17081,4524.95708,-2078.01257,3927.82208,3927.02707, 
54.2,-20308.40449,12581.37706,1140.51571,4516.60826,-2069.90346,3919.71297,3918.91796, 
54.3,-20308.40449,12598.42095,1139.91460,4508.29050,-2061.77844,3911.58795,3910.79294, 
54.4,-20308.40449,12615.39931,1139.36481,4500.00302,-2053.63735,3903.44686,3902.65185, 
54.5,-20308.40449,12632.30961,1138.86367,4491.74626,-2045.48496,3895.29447,3894.49946, 
54.6,-20308.40449,12649.15389,1138.40855,4483.51974,-2037.32230,3887.13181,3886.33680, 
54.7,-20308.40449,12665.93420,1137.99694,4475.32299,-2029.15037,3878.95988,3878.16487, 
54.8,-20308.40449,12682.64797,1137.62650,4467.15647,-2020.97356,3870.78307,3869.98806, 
54.9,-20308.40449,12699.29874,1137.29495,4459.01938,-2012.79142,3862.60093,3861.80592, 
55.0,-20308.40449,12715.88396,1136.99997,4450.91220,-2004.60836,3854.41787,3853.62286, 
55.1,-20308.40449,12732.40561,1136.73949,4442.83444,-1996.42494,3846.23445,3845.43944, 
55.2,-20308.40449,12748.86567,1136.51162,4434.78564,-1988.24156,3838.05106,3837.25606, 
55.3,-20308.40449,12765.26155,1136.31448,4426.76626,-1980.06220,3829.87171,3829.07670, 
55.4,-20308.40449,12781.59673,1136.14600,4418.77553,-1971.88624,3821.69575,3820.90074, 
55.5,-20308.40449,12797.86861,1136.00457,4410.81389,-1963.71742,3813.52692,3812.73192, 
55.6,-20308.40449,12814.07913,1135.88860,4402.88089,-1955.55587,3805.36538,3804.57037, 
55.7,-20308.40449,12830.23019,1135.79647,4394.97608,-1947.40175,3797.21126,3796.41625, 
55.8,-20308.40449,12846.31921,1135.72654,4387.09990,-1939.25885,3789.06836,3788.27335, 
55.9,-20308.40449,12862.34956,1135.67748,4379.25160,-1931.12586,3780.93537,3780.14036, 
56.0,-20308.40449,12878.31864,1135.64785,4371.43162,-1923.00637,3772.81588,3772.02087, 
56.1,-20308.40449,12894.22833,1135.63625,4363.63953,-1914.90038,3764.70989,3763.91488, 
56.2,-20308.40449,12910.08047,1135.64147,4355.87487,-1906.80768,3756.61719,3755.82218, 
56.3,-20308.40449,12925.87245,1135.66246,4348.13809,-1898.73150,3748.54100,3747.74600, 
56.4,-20308.40449,12941.60758,1135.69801,4340.42844,-1890.67046,3740.47997,3739.68496, 
56.5,-20308.40449,12957.28325,1135.74697,4332.74639,-1882.62788,3732.43739,3731.64238, 
56.6,-20308.40449,12972.90127,1135.80836,4325.09148,-1874.60338,3724.41289,3723.61788, 
56.7,-20308.40449,12988.46344,1135.88121,4317.46327,-1866.59658,3716.40608,3715.61108, 
56.8,-20308.40449,13003.96712,1135.96462,4309.86222,-1858.61053,3708.42004,3707.62503, 
56.9,-20308.40449,13019.41557,1136.05778,4302.28760,-1850.64355,3700.45306,3699.65805, 
57.0,-20308.40449,13034.80615,1136.15979,4294.73984,-1842.69872,3692.50822,3691.71322, 
57.1,-20308.40449,13050.14063,1136.26984,4287.21852,-1834.77550,3684.58501,3683.79000, 
57.2,-20308.40449,13065.42074,1136.38722,4279.72321,-1826.87331,3676.68282,3675.88781, 
57.3,-20308.40449,13080.64387,1136.51119,4272.25435,-1818.99508,3668.80459,3668.00958, 
57.4,-20308.40449,13095.81318,1136.64108,4264.81123,-1811.13900,3660.94851,3660.15350, 
57.5,-20308.40449,13110.92605,1136.77624,4257.39428,-1803.30793,3653.11744,3652.32243, 
57.6,-20308.40449,13125.98418,1136.91607,4250.00308,-1795.50116,3645.31067,3644.51566, 
57.7,-20308.40449,13140.98927,1137.06003,4242.63722,-1787.71796,3637.52747,3636.73246, 
57.8,-20308.40449,13155.93870,1137.20768,4235.29713,-1779.96098,3629.77049,3628.97548, 
57.9,-20308.40449,13170.83558,1137.35849,4227.98211,-1772.22831,3622.03781,3621.24281, 
58.0,-20308.40449,13185.67727,1137.51202,4220.69260,-1764.52260,3614.33211,3613.53710, 
58.1,-20308.40449,13200.46545,1137.66774,4213.42818,-1756.84312,3606.65263,3605.85762, 
58.2,-20308.40449,13215.20177,1137.82525,4206.18845,-1749.18902,3598.99853,3598.20352, 
58.3,-20308.40449,13229.88361,1137.98421,4198.97383,-1741.56285,3591.37236,3590.57735, 
58.4,-20308.40449,13244.51402,1138.14431,4191.78364,-1733.96252,3583.77203,3582.97702, 
58.5,-20308.40449,13259.09038,1138.30516,4184.61831,-1726.39064,3576.20015,3575.40514, 
58.6,-20308.40449,13273.61433,1138.46639,4177.47743,-1718.84634,3568.65585,3567.86084, 
58.7,-20308.40449,13288.08748,1138.62772,4170.36061,-1711.32868,3561.13819,3560.34318, 
58.8,-20308.40449,13302.50721,1138.78889,4163.26827,-1703.84013,3553.64964,3552.85463, 
58.9,-20308.40449,13316.87653,1138.94967,4156.19974,-1696.37855,3546.18806,3545.39305, 
59.0,-20308.40449,13331.19284,1139.10978,4149.15544,-1688.94644,3538.75595,3537.96094, 
59.1,-20308.40449,13345.45772,1139.26901,4142.13498,-1681.54278,3531.35229,3530.55728, 
59.2,-20308.40449,13359.67278,1139.42718,4135.13797,-1674.16657,3523.97608,3523.18107, 
59.3,-20308.40449,13373.83538,1139.58409,4128.16482,-1666.82020,3516.62971,3515.83470, 
59.4,-20308.40449,13387.94853,1139.73960,4121.21489,-1659.50147,3509.31097,3508.51597, 
59.5,-20308.40449,13402.00959,1139.89354,4114.28859,-1652.21277,3502.02228,3501.22727, 
59.6,-20308.40449,13416.02016,1140.04572,4107.38552,-1644.95308,3494.76259,3493.96758, 
59.7,-20308.40449,13429.98179,1140.19606,4100.50532,-1637.72131,3487.53082,3486.73581, 
59.8,-20308.40449,13443.89189,1140.34443,4093.64840,-1630.51978,3480.32929,3479.53428, 
59.9,-20308.40449,13457.75339,1140.49071,4086.81410,-1623.34629,3473.15579,3472.36079, 
60.0,-20308.40449,13471.56370,1140.63483,4080.00285,-1616.20311,3466.01262,3465.21761, 
60.1,-20308.40449,13485.32438,1140.77673,4073.21426,-1609.08913,3458.89863,3458.10363, 
60.2,-20308.40449,13499.03697,1140.91629,4066.44797,-1602.00326,3451.81277,3451.01776, 
60.3,-20308.40449,13512.69887,1141.05343,4059.70438,-1594.94781,3444.75732,3443.96231, 
60.4,-20308.40449,13526.31302,1141.18812,4052.98286,-1587.92050,3437.73001,3436.93500, 
60.5,-20308.40449,13539.87682,1141.32029,4046.28382,-1580.92357,3430.73308,3429.93807, 
60.6,-20308.40449,13553.39181,1141.44988,4039.60688,-1573.95591,3423.76542,3422.97041, 
60.7,-20308.40449,13566.85953,1141.57688,4032.95169,-1567.01638,3416.82589,3416.03088, 
60.8,-20308.40449,13580.27739,1141.70127,4026.31865,-1560.10718,3409.91669,3409.12168, 
60.9,-20308.40449,13593.64830,1141.82303,4019.70714,-1553.22602,3403.03553,3402.24052, 
61.0,-20308.40449,13606.96968,1141.94215,4013.11756,-1546.37511,3396.18462,3395.38961, 
61.1,-20308.40449,13620.24306,1142.05860,4006.54954,-1539.55329,3389.36280,3388.56779, 
61.2,-20308.40449,13633.46995,1142.17239,4000.00274,-1532.75941,3382.56891,3381.77391, 
61.3,-20308.40449,13646.64781,1142.28352,3993.47755,-1525.99561,3375.80512,3375.01011, 
61.4,-20308.40449,13659.77949,1142.39200,3986.97337,-1519.25964,3369.06915,3368.27414, 
61.5,-20308.40449,13672.86246,1142.49781,3980.49058,-1512.55363,3362.36314,3361.56813, 
61.6,-20308.40449,13685.89822,1142.60099,3974.02885,-1505.87643,3355.68594,3354.89093, 
61.7,-20308.40449,13698.88829,1142.70153,3967.58781,-1499.22687,3349.03638,3348.24137, 
61.8,-20308.40449,13711.83012,1142.79944,3961.16786,-1492.60707,3342.41658,3341.62157, 
61.9,-20308.40449,13724.72657,1142.89476,3954.76841,-1486.01475,3335.82426,3335.02925, 
62.0,-20308.40449,13737.57511,1142.98750,3948.38985,-1479.45203,3329.26154,3328.46653, 
62.1,-20308.40449,13750.37725,1143.07769,3942.03183,-1472.91772,3322.72723,3321.93222, 
62.2,-20308.40449,13763.13446,1143.16538,3935.69402,-1466.41063,3316.22014,3315.42513, 
62.3,-20308.40449,13775.84427,1143.25059,3929.37679,-1459.93285,3309.74236,3308.94735, 
62.4,-20308.40449,13788.50947,1143.33336,3923.07957,-1453.48210,3303.29161,3302.49660, 
