Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
35.0,-6823.62391,2909.36919,-60.57435,2741.99393,-1232.83514,67.68554,67.82886, 
35.1,-6823.62391,2916.75075,-60.57400,2734.18210,-1233.26505,67.25563,67.39895, 
35.2,-6823.62391,2924.09582,-60.57370,2726.41436,-1233.68742,66.83326,66.97658, 
35.3,-6823.62391,2931.40319,-60.57344,2718.69093,-1234.10323,66.41745,66.56077, 
35.4,-6823.62391,2938.67404,-60.57321,2711.01083,-1234.51225,66.00843,66.15175, 
35.5,-6823.62391,2945.90717,-60.57302,2703.37430,-1234.91546,65.60522,65.74854, 
35.6,-6823.62391,2953.10318,-60.57285,2695.78067,-1235.31291,65.20776,65.35109, 
35.7,-6823.62391,2960.26265,-60.57270,2688.22929,-1235.70467,64.81601,64.95933, 
35.8,-6823.62391,2967.38441,-60.57256,2680.72038,-1236.09168,64.42900,64.57232, 
35.9,-6823.62391,2974.46963,-60.57245,2673.25303,-1236.47370,64.04697,64.19030, 
36.0,-6823.62391,2981.51715,-60.57235,2665.82744,-1236.85167,63.66900,63.81233, 
36.1,-6823.62391,2988.52756,-60.57227,2658.44298,-1237.22563,63.29505,63.43837, 
36.2,-6823.62391,2995.50146,-60.57219,2651.09905,-1237.59559,62.92509,63.06841, 
36.3,-6823.62391,3002.43770,-60.57213,2643.79586,-1237.96248,62.55820,62.70152, 
36.4,-6823.62391,3009.33746,-60.57208,2636.53252,-1238.32601,62.19467,62.33799, 
36.5,-6823.62391,3016.19959,-60.57204,2629.30925,-1238.68710,61.83358,61.97690, 
36.6,-6823.62391,3023.02471,-60.57200,2622.12546,-1239.04574,61.47494,61.61826, 
36.7,-6823.62391,3029.81341,-60.57197,2614.98054,-1239.40193,61.11875,61.26207, 
36.8,-6823.62391,3036.56457,-60.57194,2607.87472,-1239.75656,60.76412,60.90744, 
36.9,-6823.62391,3043.27938,-60.57192,2600.80715,-1240.10930,60.41138,60.55470, 
37.0,-6823.62391,3049.95673,-60.57190,2593.77805,-1240.46103,60.05965,60.20297, 
37.1,-6823.62391,3056.59725,-60.57188,2586.78684,-1240.81171,59.70897,59.85229, 
37.2,-6823.62391,3063.20153,-60.57187,2579.83295,-1241.16129,59.35938,59.50271, 
37.3,-6823.62391,3069.76851,-60.57185,2572.91661,-1241.51064,59.01004,59.15336, 
37.4,-6823.62391,3076.29937,-60.57184,2566.03700,-1241.85938,58.66130,58.80462, 
37.5,-6823.62391,3082.79305,-60.57184,2559.19434,-1242.20835,58.31232,58.45565, 
37.6,-6823.62391,3089.25019,-60.57183,2552.38807,-1242.55747,57.96320,58.10653, 
37.7,-6823.62391,3095.67141,-60.57182,2545.61766,-1242.90666,57.61402,57.75734, 
37.8,-6823.62391,3102.05569,-60.57182,2538.88332,-1243.25671,57.26397,57.40729, 
37.9,-6823.62391,3108.40423,-60.57181,2532.18427,-1243.60722,56.91345,57.05678, 
38.0,-6823.62391,3114.71601,-60.57181,2525.52073,-1243.95898,56.56169,56.70502, 
38.1,-6823.62391,3120.99168,-60.57181,2518.89217,-1244.31186,56.20881,56.35214, 
38.2,-6823.62391,3127.23192,-60.57180,2512.29806,-1244.66573,55.85495,55.99827, 
38.3,-6823.62391,3133.43574,-60.57180,2505.73863,-1245.02134,55.49934,55.64266, 
38.4,-6823.62391,3139.60436,-60.57180,2499.21312,-1245.37823,55.14245,55.28577, 
38.5,-6823.62391,3145.73681,-60.57180,2492.72176,-1245.73714,54.78354,54.92686, 
38.6,-6823.62391,3151.83379,-60.57180,2486.26403,-1246.09789,54.42279,54.56611, 
38.7,-6823.62391,3157.89599,-60.57180,2479.83943,-1246.46029,54.06039,54.20371, 
38.8,-6823.62391,3163.92248,-60.57180,2473.44818,-1246.82504,53.69564,53.83896, 
38.9,-6823.62391,3169.91450,-60.57180,2467.08956,-1247.19164,53.32904,53.47236, 
