Lz,Self Energy,Reciprocal Energy,Real Energy,J(M S),Total,Error(cpp),Error(lammps)
35.0,-11604.80241,5212.12844,-641.82354,2596.87645,-4437.62107,1497.30690,1497.24193, 
35.1,-11604.80241,5216.18017,-663.86063,2589.47805,-4463.00481,1471.92316,1471.85819, 
35.2,-11604.80241,5220.10964,-684.17541,2582.12141,-4486.74676,1448.18121,1448.11624, 
35.3,-11604.80241,5223.91985,-702.86367,2574.80673,-4508.93949,1425.98847,1425.92351, 
35.4,-11604.80241,5227.61665,-720.03068,2567.53310,-4529.68334,1405.24463,1405.17966, 
35.5,-11604.80241,5231.20307,-735.78142,2560.30072,-4549.08003,1385.84794,1385.78297, 
35.6,-11604.80241,5234.68425,-750.22311,2553.10898,-4567.23229,1367.69568,1367.63071, 
35.7,-11604.80241,5238.06529,-763.45883,2545.95725,-4584.23870,1350.68927,1350.62430, 
35.8,-11604.80241,5241.34920,-775.58583,2538.84574,-4600.19329,1334.73468,1334.66971, 
35.9,-11604.80241,5244.54170,-786.69827,2531.77359,-4615.18539,1319.74258,1319.67761, 
36.0,-11604.80241,5247.64575,-796.88292,2524.74099,-4629.29859,1305.62938,1305.56441, 
36.1,-11604.80241,5250.66631,-806.22141,2517.74735,-4642.61016,1292.31781,1292.25284, 
36.2,-11604.80241,5253.60826,-814.78864,2510.79209,-4655.19070,1279.73727,1279.67230, 
36.3,-11604.80241,5256.47442,-822.65194,2503.87542,-4667.10451,1267.82345,1267.75849, 
36.4,-11604.80241,5259.27023,-829.87364,2496.99648,-4678.40933,1256.51863,1256.45367, 
36.5,-11604.80241,5261.99840,-836.50896,2490.15550,-4689.15748,1245.77049,1245.70552, 
36.6,-11604.80241,5264.66354,-842.60846,2483.35190,-4699.39543,1235.53254,1235.46757, 
36.7,-11604.80241,5267.27018,-848.21773,2476.58512,-4709.16484,1225.76313,1225.69816, 
36.8,-11604.80241,5269.82082,-853.37840,2469.85537,-4718.50461,1216.42335,1216.35839, 
36.9,-11604.80241,5272.32047,-858.12806,2463.16184,-4727.44816,1207.47980,1207.41484, 
37.0,-11604.80241,5274.77144,-862.49964,2456.50475,-4736.02585,1198.90211,1198.83715, 
37.1,-11604.80241,5277.17792,-866.52338,2449.88354,-4744.26432,1190.66364,1190.59868, 
37.2,-11604.80241,5279.54397,-870.22663,2443.29768,-4752.18738,1182.74058,1182.67562, 
37.3,-11604.80241,5281.87165,-873.63390,2436.74739,-4759.81727,1175.11070,1175.04573, 
37.4,-11604.80241,5284.16545,-876.76787,2430.23187,-4767.17296,1167.75500,1167.69004, 
37.5,-11604.80241,5286.42724,-879.64854,2423.75135,-4774.27235,1160.65561,1160.59065, 
37.6,-11604.80241,5288.66067,-882.29475,2417.30530,-4781.13118,1153.79678,1153.73182, 
37.7,-11604.80241,5290.86928,-884.72323,2410.89320,-4787.76316,1147.16481,1147.09984, 
37.8,-11604.80241,5293.05463,-886.94930,2404.51528,-4794.18181,1140.74616,1140.68119, 
37.9,-11604.80241,5295.22065,-888.98763,2398.17077,-4800.39862,1134.52934,1134.46438, 
38.0,-11604.80241,5297.36871,-890.85080,2391.85989,-4806.42462,1128.50335,1128.43838, 
38.1,-11604.80241,5299.50189,-892.55105,2385.58213,-4812.26943,1122.65854,1122.59357, 
38.2,-11604.80241,5301.62319,-894.09964,2379.33701,-4817.94184,1116.98612,1116.92116, 
38.3,-11604.80241,5303.73365,-895.50670,2373.12474,-4823.45072,1111.47724,1111.41228, 
38.4,-11604.80241,5305.83662,-896.78221,2366.94458,-4828.80341,1106.12455,1106.05959, 
38.5,-11604.80241,5307.93296,-897.93510,2360.79677,-4834.00778,1100.92019,1100.85522, 
38.6,-11604.80241,5310.02519,-898.97368,2354.68081,-4839.07009,1095.85788,1095.79291, 
38.7,-11604.80241,5312.11577,-899.90587,2348.59622,-4843.99628,1090.93168,1090.86672, 
38.8,-11604.80241,5314.20520,-900.73892,2342.54323,-4848.79289,1086.13507,1086.07011, 
38.9,-11604.80241,5316.29632,-901.47979,2336.52113,-4853.46475,1081.46322,1081.39825, 
39.0,-11604.80241,5318.38944,-902.13476,2330.53015,-4858.01758,1076.91038,1076.84542, 
39.1,-11604.80241,5320.48661,-902.70997,2324.56980,-4862.45598,1072.47199,1072.40702, 
39.2,-11604.80241,5322.58972,-903.21109,2318.63964,-4866.78414,1068.14382,1068.07886, 
39.3,-11604.80241,5324.69883,-903.64341,2312.73988,-4871.00710,1063.92086,1063.85590, 
39.4,-11604.80241,5326.81625,-904.01211,2306.86985,-4875.12842,1059.79954,1059.73458, 
39.5,-11604.80241,5328.94183,-904.32193,2301.02976,-4879.15274,1055.77522,1055.71026, 
39.6,-11604.80241,5331.07714,-904.57738,2295.21917,-4883.08347,1051.84449,1051.77953, 
39.7,-11604.80241,5333.22363,-904.78269,2289.43763,-4886.92384,1048.00412,1047.93916, 
39.8,-11604.80241,5335.38089,-904.94173,2283.68536,-4890.67789,1044.25008,1044.18511, 
39.9,-11604.80241,5337.55081,-905.05828,2277.96171,-4894.34817,1040.57979,1040.51483, 
40.0,-11604.80241,5339.73283,-905.13584,2272.26689,-4897.93852,1036.98944,1036.92448, 
