# of Threads,Time for FFTW
1,0.55964774 
,0.54544414 
,0.51821549 
,0.50597505 
,0.50163734 
 
 
2,0.35717252 
,0.35456196 
,0.35627186 
,0.35615513 
,0.35166041 
 
 
3,0.31206409 
,0.30990915 
,0.31087182 
,0.31095219 
,0.31075015 
 
 
4,0.28593623 
,0.28312768 
,0.28436291 
,0.28402490 
,0.28633464 
 
 
5,0.31592264 
,0.31681777 
,0.31522685 
,0.31598711 
,0.31570046 
 
 
6,0.29937718 
,0.29940244 
,0.29859906 
,0.29774935 
,0.29707008 
 
 
7,0.28644746 
,0.28551507 
,0.28708732 
,0.28429861 
,0.28636639 
 
 
8,0.27689369 
,0.27591144 
,0.27788645 
,0.27728773 
,0.27606897 
 
 
9,0.27018858 
,0.27165506 
,0.27023334 
,0.26823379 
,0.26844493 
 
 
10,0.26624454 
,0.26681989 
,0.26529537 
,0.26650261 
,0.26362244 
 
 
11,0.34032647 
,0.34052463 
,0.35018325 
,0.34589148 
,0.33320844 
 
 
12,0.33462445 
,0.33627638 
,0.34157780 
,0.34364728 
,0.34036626 
 
 
13,0.30994924 
,0.26966698 
,0.27505877 
,0.26875422 
,0.26927237 
 
 
14,0.27492858 
,0.26872212 
,0.26925735 
,0.27281534 
,0.27634570 
 
 
15,0.27463764 
,0.26957021 
,0.26806357 
,0.27038562 
,0.30093234 
 
 
16,0.33708080 
,0.26455407 
,0.27810458 
,0.30341416 
,0.27315866 
 
 
17,0.26760979 
,0.30217770 
,0.29249419 
,0.27075408 
,0.26772306 
 
 
18,0.27275983 
,0.26427918 
,0.27574684 
,0.27020935 
,0.26987453 
 
 
19,0.27005775 
,0.26441490 
,0.27627966 
,0.27486577 
,0.27479504 
 
 
20,0.28590234 
,0.26372851 
,0.26256426 
,0.27054178 
,0.29383948 
 
 
21,0.29277001 
,0.27051857 
,0.27838024 
,0.27074284 
,0.26997050 
 
 
22,0.26812294 
,0.26697324 
,0.28420470 
,0.27247976 
,0.27840101 
 
 
23,0.26570622 
,0.27077197 
,0.26497914 
,0.27657340 
,0.27037382 
 
 
24,0.26594850 
,0.30410395 
,0.26489435 
,0.27324377 
,0.27912296 
 
 
