File,Reciprocal,,Real
POSCAR1,3381.63298,0.02142177,1471.86159,0.00218709 
,3381.63298,0.02068389,1471.86159,0.00220021 
,3381.63298,0.01981985,1471.86159,0.00201293 
,3381.63298,0.02038883,1471.86159,0.00199847 
,3381.63298,0.02133336,1471.86159,0.00215516 
,3381.63298,0.02083290,1471.86159,0.00216700 
,3381.63298,0.02426865,1471.86159,0.00217339 
,3381.63298,0.02102308,1471.86159,0.00226801 
,3381.63298,0.02069641,1471.86159,0.00215308 
,3381.63298,0.02080309,1471.86159,0.00215989 
 
 
POSCAR2,15490.95814,0.04237160,5449.13251,0.00863509 
,15490.95814,0.04027316,5449.13251,0.00823820 
,15490.95814,0.04078348,5449.13251,0.00867007 
,15490.95814,0.04164373,5449.13251,0.00865740 
,15490.95814,0.04265329,5449.13251,0.00867012 
,15490.95814,0.04197552,5449.13251,0.00873295 
,15490.95814,0.04071179,5449.13251,0.00864777 
,15490.95814,0.04195791,5449.13251,0.00947469 
,15490.95814,0.04307691,5449.13251,0.01010321 
,15490.95814,0.03908811,5449.13251,0.00773527 
 
 
POSCAR3,13705.57101,0.06108829,1177.15783,0.01952554 
,13705.57101,0.06176928,1177.15783,0.01903623 
,13705.57101,0.05917065,1177.15783,0.01884448 
,13705.57101,0.05973221,1177.15783,0.01961383 
,13705.57101,0.06092256,1177.15783,0.01958736 
,13705.57101,0.06110597,1177.15783,0.01908958 
,13705.57101,0.05934413,1177.15783,0.01947929 
,13705.57101,0.05967658,1177.15783,0.01862120 
,13705.57101,0.05753751,1177.15783,0.01962692 
,13705.57101,0.05769673,1177.15783,0.01923279 
 
 
POSCAR4,13784.36295,0.07987347,-4487.19446,0.03377730 
,13784.36295,0.08094696,-4487.19446,0.03188216 
,13784.36295,0.08217225,-4487.19446,0.03434856 
,13784.36295,0.08137991,-4487.19446,0.03310654 
,13784.36295,0.08092728,-4487.19446,0.03149879 
,13784.36295,0.07900657,-4487.19446,0.03115357 
,13784.36295,0.08211199,-4487.19446,0.03134448 
,13784.36295,0.08165816,-4487.19446,0.03277474 
,13784.36295,0.08230055,-4487.19446,0.03165538 
,13784.36295,0.08183998,-4487.19446,0.03479322 
 
 
POSCAR5,9307.49660,0.09952070,-3841.81153,0.04915500 
,9307.49660,0.09283365,-3841.81153,0.05020089 
,9307.49660,0.09598189,-3841.81153,0.05098897 
,9307.49660,0.09669041,-3841.81153,0.05131563 
,9307.49660,0.09645563,-3841.81153,0.05107020 
,9307.49660,0.09733856,-3841.81153,0.05118626 
,9307.49660,0.09791570,-3841.81153,0.05426317 
,9307.49660,0.09560873,-3841.81153,0.05029240 
,9307.49660,0.09464032,-3841.81153,0.05298991 
,9307.49660,0.09849043,-3841.81153,0.05165539 
 
 
POSCAR6,35871.69215,0.14387524,4128.04785,0.11482092 
,35871.69215,0.14443581,4128.04785,0.11365719 
,35871.69215,0.14578012,4128.04785,0.11425196 
,35871.69215,0.14592177,4128.04785,0.11452722 
,35871.69215,0.14015531,4128.04785,0.11301309 
,35871.69215,0.13981463,4128.04785,0.11103220 
,35871.69215,0.15096398,4128.04785,0.11206444 
,35871.69215,0.14442541,4128.04785,0.11293670 
,35871.69215,0.14338108,4128.04785,0.11663543 
,35871.69215,0.14279495,4128.04785,0.11477693 
 
 
POSCAR7,48971.53193,0.28273084,1324.09249,0.43928933 
,48971.53193,0.28638374,1324.09249,0.43991045 
,48971.53193,0.28618215,1324.09249,0.43852884 
,48971.53193,0.28352279,1324.09249,0.43851851 
,48971.53193,0.28709474,1324.09249,0.44178058 
,48971.53193,0.28987304,1324.09249,0.43970440 
,48971.53193,0.28501424,1324.09249,0.44077085 
,48971.53193,0.28341194,1324.09249,0.44033118 
,48971.53193,0.28562876,1324.09249,0.43710564 
,48971.53193,0.28686149,1324.09249,0.45928467 
 
 
POSCAR8,87544.72174,0.58416228,-133083.56811,1.84037658 
,87544.72174,0.56193742,-133083.56811,1.79404105 
,87544.72174,0.56190424,-133083.56811,1.79075336 
,87544.72174,0.57067418,-133083.56811,1.79908493 
,87544.72174,0.56886036,-133083.56811,1.79681155 
,87544.72174,0.56498886,-133083.56811,1.79270934 
,87544.72174,0.56421025,-133083.56811,1.79622236 
,87544.72174,0.56038944,-133083.56811,1.88874767 
,87544.72174,0.56645164,-133083.56811,1.84643600 
,87544.72174,0.55919470,-133083.56811,1.75539291 
 
 
POSCAR9,278800.60778,1.11588360,146797.13468,7.00454205 
,278800.60778,1.12131490,146797.13468,7.00543009 
,278800.60778,1.11799625,146797.13468,7.00898666 
,278800.60778,1.11982697,146797.13468,7.01120580 
,278800.60778,1.11686169,146797.13468,7.00748041 
,278800.60778,1.11430519,146797.13468,7.00209174 
,278800.60778,1.11469867,146797.13468,7.00390899 
,278800.60778,1.11638024,146797.13468,7.01302085 
,278800.60778,1.11237083,146797.13468,6.99632528 
,278800.60778,1.12305832,146797.13468,7.00179730 
 
 
POSCAR10,465020.56345,2.22465160,56934.83063,28.36890331 
,465020.56345,2.30288322,56934.83063,28.04718251 
,465020.56345,2.23320970,56934.83063,28.04884831 
,465020.56345,2.22739899,56934.83063,28.04393178 
,465020.56345,2.22321983,56934.83063,28.16890790 
,465020.56345,2.23516535,56934.83063,28.20515208 
,465020.56345,2.23446067,56934.83063,28.67583772 
,465020.56345,2.24799786,56934.83063,28.93160069 
,465020.56345,2.25297719,56934.83063,28.52610172 
,465020.56345,2.23594594,56934.83063,28.05846181 
 
 
POSCAR11,684719.79847,2.78925015,-122577.45532,43.87444169 
,684719.79847,2.78750215,-122577.45532,43.81635497 
,684719.79847,2.78742047,-122577.45532,43.88667810 
,684719.79847,2.82289915,-122577.45532,44.78453469 
,684719.79847,2.78896308,-122577.45532,43.86921551 
,684719.79847,2.77920418,-122577.45532,43.94179458 
,684719.79847,2.77865712,-122577.45532,43.94778591 
,684719.79847,2.77331019,-122577.45532,44.00690503 
,684719.79847,2.77607320,-122577.45532,44.31129302 
,684719.79847,2.77874036,-122577.45532,43.82551231 
 
 
POSCAR12,904859.27335,4.45458977,-2450596.26750,112.22258455 
,904859.27335,4.44025707,-2450596.26750,112.73035549 
,904859.27335,4.47092693,-2450596.26750,113.38045828 
,904859.27335,4.50608001,-2450596.26750,112.37514206 
,904859.27335,4.62558704,-2450596.26750,114.32116289 
,904859.27335,4.65369727,-2450596.26750,112.98651547 
,904859.27335,4.45508999,-2450596.26750,113.33558003 
,904859.27335,4.43694226,-2450596.26750,112.43370091 
,904859.27335,4.45084639,-2450596.26750,112.95664265 
,904859.27335,4.44862516,-2450596.26750,112.76461582 
 
 
POSCAR13,859801.31161,5.54583165,-894422.44116,175.17136976 
,859801.31161,5.56914988,-894422.44116,175.32063602 
,859801.31161,5.55538336,-894422.44116,175.53760741 
,859801.31161,5.57252437,-894422.44116,175.47080261 
,859801.31161,5.54883530,-894422.44116,175.46906902 
,859801.31161,5.55180695,-894422.44116,175.40088977 
,859801.31161,5.55630180,-894422.44116,175.44822779 
,859801.31161,5.54920660,-894422.44116,175.44218927 
,859801.31161,5.53921926,-894422.44116,175.39582394 
,859801.31161,5.56289776,-894422.44116,175.57172067 
 
 
POSCAR14,1942154.97351,6.94421845,158642.06564,274.03288154 
,1942154.97351,6.93929701,158642.06564,274.17557392 
,1942154.97351,6.92869410,158642.06564,274.12171642 
,1942154.97351,6.95486657,158642.06564,274.06705348 
,1942154.97351,6.93413554,158642.06564,274.08633057 
,1942154.97351,6.94633653,158642.06564,274.11255853 
,1942154.97351,6.93613978,158642.06564,273.66466545 
,1942154.97351,6.92565341,158642.06564,273.97404145 
,1942154.97351,6.92522438,158642.06564,273.56505733 
,1942154.97351,6.93662505,158642.06564,273.61128245 
 
 
