File,Ecoul,Elong,Total
POSCAR1,1471.86159,-4741.72882,-3269.86723, 
,1471.86159,-4741.72882,-3269.86723, 
,1471.86159,-4741.72882,-3269.86723, 
,1471.86159,-4741.72882,-3269.86723, 
,1471.86159,-4741.72882,-3269.86723, 
,1471.86159,-4741.72882,-3269.86723, 
,1471.86159,-4741.72882,-3269.86723, 
,1471.86159,-4741.72882,-3269.86723, 
,1471.86159,-4741.72882,-3269.86723, 
,1471.86159,-4741.72882,-3269.86723, 
 
 
POSCAR2,5449.13251,-755.76546,4693.36705, 
,5449.13251,-755.76546,4693.36705, 
,5449.13251,-755.76546,4693.36705, 
,5449.13251,-755.76546,4693.36705, 
,5449.13251,-755.76546,4693.36705, 
,5449.13251,-755.76546,4693.36705, 
,5449.13251,-755.76546,4693.36705, 
,5449.13251,-755.76546,4693.36705, 
,5449.13251,-755.76546,4693.36705, 
,5449.13251,-755.76546,4693.36705, 
 
 
POSCAR3,1177.15783,-10664.51438,-9487.35656, 
,1177.15783,-10664.51438,-9487.35656, 
,1177.15783,-10664.51438,-9487.35656, 
,1177.15783,-10664.51438,-9487.35656, 
,1177.15783,-10664.51438,-9487.35656, 
,1177.15783,-10664.51438,-9487.35656, 
,1177.15783,-10664.51438,-9487.35656, 
,1177.15783,-10664.51438,-9487.35656, 
,1177.15783,-10664.51438,-9487.35656, 
,1177.15783,-10664.51438,-9487.35656, 
 
 
POSCAR4,-4487.19446,-18709.08423,-23196.27869, 
,-4487.19446,-18709.08423,-23196.27869, 
,-4487.19446,-18709.08423,-23196.27869, 
,-4487.19446,-18709.08423,-23196.27869, 
,-4487.19446,-18709.08423,-23196.27869, 
,-4487.19446,-18709.08423,-23196.27869, 
,-4487.19446,-18709.08423,-23196.27869, 
,-4487.19446,-18709.08423,-23196.27869, 
,-4487.19446,-18709.08423,-23196.27869, 
,-4487.19446,-18709.08423,-23196.27869, 
 
 
POSCAR5,-3841.81153,-31309.31238,-35151.12391, 
,-3841.81153,-31309.31238,-35151.12391, 
,-3841.81153,-31309.31238,-35151.12391, 
,-3841.81153,-31309.31238,-35151.12391, 
,-3841.81153,-31309.31238,-35151.12391, 
,-3841.81153,-31309.31238,-35151.12391, 
,-3841.81153,-31309.31238,-35151.12391, 
,-3841.81153,-31309.31238,-35151.12391, 
,-3841.81153,-31309.31238,-35151.12391, 
,-3841.81153,-31309.31238,-35151.12391, 
 
 
POSCAR6,4128.04785,-25053.52132,-20925.47347, 
,4128.04785,-25053.52132,-20925.47347, 
,4128.04785,-25053.52132,-20925.47347, 
,4128.04785,-25053.52132,-20925.47347, 
,4128.04785,-25053.52132,-20925.47347, 
,4128.04785,-25053.52132,-20925.47347, 
,4128.04785,-25053.52132,-20925.47347, 
,4128.04785,-25053.52132,-20925.47347, 
,4128.04785,-25053.52132,-20925.47347, 
,4128.04785,-25053.52132,-20925.47347, 
 
 
POSCAR7,1324.09249,-72878.89502,-71554.80252, 
,1324.09249,-72878.89502,-71554.80252, 
,1324.09249,-72878.89502,-71554.80252, 
,1324.09249,-72878.89502,-71554.80252, 
,1324.09249,-72878.89502,-71554.80252, 
,1324.09249,-72878.89502,-71554.80252, 
,1324.09249,-72878.89502,-71554.80252, 
,1324.09249,-72878.89502,-71554.80252, 
,1324.09249,-72878.89502,-71554.80252, 
,1324.09249,-72878.89502,-71554.80252, 
 
 
POSCAR8,-133083.56811,-156156.13215,-289239.70026, 
,-133083.56811,-156156.13215,-289239.70026, 
,-133083.56811,-156156.13215,-289239.70026, 
,-133083.56811,-156156.13215,-289239.70026, 
,-133083.56811,-156156.13215,-289239.70026, 
,-133083.56811,-156156.13215,-289239.70026, 
,-133083.56811,-156156.13215,-289239.70026, 
,-133083.56811,-156156.13215,-289239.70026, 
,-133083.56811,-156156.13215,-289239.70026, 
,-133083.56811,-156156.13215,-289239.70026, 
 
 
POSCAR9,146797.13467,-208601.10000,-61803.96532, 
,146797.13467,-208601.10000,-61803.96532, 
,146797.13467,-208601.10000,-61803.96532, 
,146797.13467,-208601.10000,-61803.96532, 
,146797.13467,-208601.10000,-61803.96532, 
,146797.13467,-208601.10000,-61803.96532, 
,146797.13467,-208601.10000,-61803.96532, 
,146797.13467,-208601.10000,-61803.96532, 
,146797.13467,-208601.10000,-61803.96532, 
,146797.13467,-208601.10000,-61803.96532, 
 
 
POSCAR10,56934.83061,-509782.85211,-452848.02151, 
,56934.83060,-509782.85211,-452848.02151, 
,56934.83060,-509782.85211,-452848.02151, 
,56934.83060,-509782.85211,-452848.02151, 
,56934.83060,-509782.85211,-452848.02151, 
,56934.83061,-509782.85211,-452848.02151, 
,56934.83061,-509782.85211,-452848.02151, 
,56934.83060,-509782.85211,-452848.02151, 
,56934.83061,-509782.85211,-452848.02151, 
,56934.83060,-509782.85211,-452848.02151, 
 
 
POSCAR11,-122577.45536,-533784.47098,-656361.92634, 
,-122577.45536,-533784.47098,-656361.92634, 
,-122577.45535,-533784.47098,-656361.92634, 
,-122577.45536,-533784.47098,-656361.92634, 
,-122577.45536,-533784.47098,-656361.92634, 
,-122577.45535,-533784.47098,-656361.92633, 
,-122577.45536,-533784.47098,-656361.92634, 
,-122577.45536,-533784.47098,-656361.92634, 
,-122577.45536,-533784.47098,-656361.92634, 
,-122577.45535,-533784.47098,-656361.92633, 
 
 
