File,Self,,Reciprocal,,Real
POSCAR1,-8123.36180,0.00001806,3381.63298,0.01953292,1471.86159,0.00191783 
,-8123.36180,0.00001233,3381.63298,0.01854625,1471.86159,0.00194045 
,-8123.36180,0.00001087,3381.63298,0.01849614,1471.86159,0.00191364 
,-8123.36180,0.00001242,3381.63298,0.01844551,1471.86159,0.00191126 
,-8123.36180,0.00001000,3381.63298,0.02066323,1471.86159,0.00264952 
 
 
POSCAR2,-16246.72359,0.00001234,15490.95814,0.03706877,5449.13251,0.00776098 
,-16246.72359,0.00001224,15490.95814,0.03717988,5449.13251,0.00880074 
,-16246.72359,0.00001452,15490.95814,0.03989986,5449.13251,0.00874142 
,-16246.72359,0.00001618,15490.95814,0.04027341,5449.13251,0.00806279 
,-16246.72359,0.00001395,15490.95814,0.03795012,5449.13251,0.00807329 
 
 
POSCAR3,-24370.08539,0.00001335,13705.57101,0.05626157,1177.15783,0.01763561 
,-24370.08539,0.00001449,13705.57101,0.05837995,1177.15783,0.01946037 
,-24370.08539,0.00001579,13705.57101,0.05992318,1177.15783,0.01769420 
,-24370.08539,0.00001256,13705.57101,0.05666478,1177.15783,0.01817923 
,-24370.08539,0.00001368,13705.57101,0.05851656,1177.15783,0.01879986 
 
 
POSCAR4,-32493.44719,0.00001599,13784.36295,0.07933778,-4487.19446,0.03102541 
,-32493.44719,0.00001467,13784.36295,0.07770883,-4487.19446,0.03349044 
,-32493.44719,0.00001305,13784.36295,0.07774564,-4487.19446,0.03158307 
,-32493.44719,0.00001471,13784.36295,0.07611937,-4487.19446,0.03103245 
,-32493.44719,0.00001270,13784.36295,0.07539019,-4487.19446,0.03144902 
 
 
POSCAR5,-40616.80898,0.00001250,9307.49660,0.09497773,-3841.81153,0.05066488 
,-40616.80898,0.00001596,9307.49660,0.09476872,-3841.81153,0.04956048 
,-40616.80898,0.00001617,9307.49660,0.09284036,-3841.81153,0.04888998 
,-40616.80898,0.00001326,9307.49660,0.09294259,-3841.81153,0.04860866 
,-40616.80898,0.00001299,9307.49660,0.09295540,-3841.81153,0.04888680 
 
 
POSCAR6,-60925.21347,0.00001547,35871.69215,0.14319184,4128.04785,0.11113307 
,-60925.21347,0.00001585,35871.69215,0.14068666,4128.04785,0.10931220 
