File,Reciprocal,,Real
POSCAR1,3381.63298,0.00620893,1471.86159,0.00027540 
,3381.63298,0.00589720,1471.86159,0.00033965 
,3381.63298,0.01096008,1471.86159,0.00032739 
,3381.63298,0.00571991,1471.86159,0.00093499 
,3381.63298,0.01253138,1471.86159,0.00031351 
,3381.63298,0.00495894,1471.86159,0.00027337 
,3381.63298,0.00454687,1471.86159,0.00027486 
,3381.63298,0.00452430,1471.86159,0.00097768 
,3381.63298,0.01154555,1471.86159,0.00027560 
,3381.63298,0.00491749,1471.86159,0.00027454 
 
 
POSCAR2,15490.95814,0.00889722,5449.13251,0.00112716 
,15490.95814,0.00883594,5449.13251,0.00108600 
,15490.95814,0.00935203,5449.13251,0.00107377 
,15490.95814,0.01679019,5449.13251,0.00365578 
,15490.95814,0.02158773,5449.13251,0.01053768 
,15490.95814,0.00912040,5449.13251,0.00107741 
,15490.95814,0.00980479,5449.13251,0.00107623 
,15490.95814,0.00887069,5449.13251,0.00111918 
,15490.95814,0.00911533,5449.13251,0.00149265 
,15490.95814,0.01012525,5449.13251,0.00107543 
 
 
POSCAR3,13705.57101,0.01446536,1177.15783,0.00236509 
,13705.57101,0.01502924,1177.15783,0.00238651 
,13705.57101,0.01389015,1177.15783,0.00239719 
,13705.57101,0.01355629,1177.15783,0.00236475 
,13705.57101,0.01356491,1177.15783,0.00239450 
,13705.57101,0.01344320,1177.15783,0.00240208 
,13705.57101,0.01346142,1177.15783,0.00237975 
,13705.57101,0.02006864,1177.15783,0.00744087 
,13705.57101,0.01347055,1177.15783,0.00240131 
,13705.57101,0.01359185,1177.15783,0.00246350 
 
 
POSCAR4,13784.36295,0.01792599,-4487.19446,0.00451490 
,13784.36295,0.01750472,-4487.19446,0.00438649 
,13784.36295,0.01753976,-4487.19446,0.00557450 
,13784.36295,0.01758179,-4487.19446,0.00509754 
,13784.36295,0.01794999,-4487.19446,0.00568295 
,13784.36295,0.01797782,-4487.19446,0.00421713 
,13784.36295,0.01892818,-4487.19446,0.00536517 
,13784.36295,0.01752919,-4487.19446,0.00420895 
,13784.36295,0.01828604,-4487.19446,0.00920951 
,13784.36295,0.04302468,-4487.19446,0.02684779 
 
 
POSCAR5,9307.49660,0.02898898,-3841.81153,0.00669015 
,9307.49660,0.02198397,-3841.81153,0.00804230 
,9307.49660,0.03225642,-3841.81153,0.00654128 
,9307.49660,0.02185241,-3841.81153,0.00674518 
,9307.49660,0.02189692,-3841.81153,0.00680508 
,9307.49660,0.02182184,-3841.81153,0.00676599 
,9307.49660,0.02796395,-3841.81153,0.00679889 
,9307.49660,0.02225774,-3841.81153,0.00680031 
,9307.49660,0.02189913,-3841.81153,0.00695756 
,9307.49660,0.02886465,-3841.81153,0.00676884 
 
 
POSCAR6,35871.69215,0.03246708,4128.04785,0.01779236 
,35871.69215,0.03233149,4128.04785,0.01493345 
,35871.69215,0.03235477,4128.04785,0.01489683 
,35871.69215,0.03278763,4128.04785,0.02554145 
,35871.69215,0.03290664,4128.04785,0.01499511 
