File,Reciprocal,,Real
POSCAR1,3381.63298,0.00658821,1471.86159,0.00037408 
,3381.63298,0.00654383,1471.86159,0.00037034 
,3381.63298,0.00647955,1471.86159,0.00037086 
,3381.63298,0.00654270,1471.86159,0.00037019 
,3381.63298,0.00660936,1471.86159,0.00036999 
,3381.63298,0.00662556,1471.86159,0.00037063 
,3381.63298,0.00649768,1471.86159,0.00036959 
,3381.63298,0.00682361,1471.86159,0.00037059 
,3381.63298,0.00672426,1471.86159,0.00049245 
,3381.63298,0.00717614,1471.86159,0.00052032 
 
 
POSCAR2,15490.95814,0.01054293,5449.13251,0.00146666 
,15490.95814,0.00993514,5449.13251,0.00146586 
,15490.95814,0.00994657,5449.13251,0.00147056 
,15490.95814,0.01001079,5449.13251,0.00146414 
,15490.95814,0.00989610,5449.13251,0.00146469 
,15490.95814,0.00991521,5449.13251,0.00146899 
,15490.95814,0.00998261,5449.13251,0.00146753 
,15490.95814,0.01002553,5449.13251,0.00146868 
,15490.95814,0.00999515,5449.13251,0.00146731 
,15490.95814,0.00992969,5449.13251,0.00146902 
 
 
POSCAR3,13705.57101,0.01796603,1177.15783,0.00464808 
,13705.57101,0.01641572,1177.15783,0.00327615 
,13705.57101,0.01371657,1177.15783,0.00328143 
,13705.57101,0.01362550,1177.15783,0.00328298 
,13705.57101,0.01346833,1177.15783,0.00329402 
,13705.57101,0.01343994,1177.15783,0.00328674 
,13705.57101,0.01360706,1177.15783,0.00327407 
,13705.57101,0.01374925,1177.15783,0.00328346 
,13705.57101,0.01353159,1177.15783,0.00327513 
,13705.57101,0.01352695,1177.15783,0.00327711 
 
 
POSCAR4,13784.36295,0.01803694,-4487.19446,0.00590117 
,13784.36295,0.01725835,-4487.19446,0.00582740 
,13784.36295,0.01715821,-4487.19446,0.00582295 
,13784.36295,0.01755048,-4487.19446,0.00584290 
,13784.36295,0.01723737,-4487.19446,0.00583088 
,13784.36295,0.01721703,-4487.19446,0.00582208 
,13784.36295,0.01723683,-4487.19446,0.00588531 
,13784.36295,0.01733307,-4487.19446,0.00590779 
,13784.36295,0.01774763,-4487.19446,0.00583056 
,13784.36295,0.01723260,-4487.19446,0.00581081 
 
 
POSCAR5,9307.49660,0.02076694,-3841.81153,0.00909849 
,9307.49660,0.02121475,-3841.81153,0.00954011 
,9307.49660,0.02453587,-3841.81153,0.00918025 
,9307.49660,0.02062876,-3841.81153,0.00984909 
,9307.49660,0.02093974,-3841.81153,0.00910930 
,9307.49660,0.02130874,-3841.81153,0.00909416 
,9307.49660,0.02098148,-3841.81153,0.00966535 
,9307.49660,0.02847210,-3841.81153,0.01288011 
,9307.49660,0.02052756,-3841.81153,0.00953016 
,9307.49660,0.02068418,-3841.81153,0.00908938 
 
 
POSCAR6,35871.69215,0.03015864,4128.04785,0.02087615 
,35871.69215,0.02931472,4128.04785,0.02041163 
,35871.69215,0.03317103,4128.04785,0.02041661 
,35871.69215,0.03045491,4128.04785,0.02044661 
,35871.69215,0.02956208,4128.04785,0.02073395 
,35871.69215,0.02931926,4128.04785,0.02050188 
,35871.69215,0.03053871,4128.04785,0.02052634 
,35871.69215,0.03083868,4128.04785,0.02054726 
,35871.69215,0.03157679,4128.04785,0.02081167 
,35871.69215,0.03004390,4128.04785,0.02056417 
 
 
POSCAR7,48971.53193,0.05708839,1324.09249,0.08407328 
,48971.53193,0.05652541,1324.09249,0.08228848 
,48971.53193,0.05667481,1324.09249,0.08189338 
,48971.53193,0.05610109,1324.09249,0.08216245 
,48971.53193,0.05585834,1324.09249,0.08239728 
,48971.53193,0.05528469,1324.09249,0.08298294 
,48971.53193,0.07902269,1324.09249,0.11345422 
,48971.53193,0.05718772,1324.09249,0.08257320 
,48971.53193,0.05746165,1324.09249,0.08430516 
,48971.53193,0.05604166,1324.09249,0.08207622 
 
 
POSCAR8,87544.72174,0.11064905,-133083.56811,0.32842883 
,87544.72174,0.11056138,-133083.56811,0.32924368 
,87544.72174,0.11281193,-133083.56811,0.32713885 
,87544.72174,0.11211092,-133083.56811,0.32963392 
,87544.72174,0.11559823,-133083.56811,0.32955807 
,87544.72174,0.11618350,-133083.56811,0.34104409 
,87544.72174,0.15233307,-133083.56811,0.33168115 
,87544.72174,0.11611973,-133083.56811,0.34512183 
,87544.72174,0.11850973,-133083.56811,0.33638915 
,87544.72174,0.12087962,-133083.56811,0.32939126 
 
 
POSCAR9,278800.60778,0.24236104,146797.13467,1.35353924 
,278800.60778,0.22780836,146797.13467,1.32660787 
,278800.60778,0.22552014,146797.13467,1.31706714 
,278800.60778,0.22250073,146797.13467,1.31120407 
,278800.60778,0.22557269,146797.13467,1.32176584 
,278800.60778,0.23499625,146797.13467,1.31924524 
,278800.60778,0.24455206,146797.13467,1.32156954 
,278800.60778,0.24621620,146797.13467,1.32604274 
,278800.60778,0.22844570,146797.13467,1.32213002 
,278800.60778,0.22868779,146797.13467,1.32535674 
 
 
POSCAR10,465020.56345,0.44519838,56934.83061,5.24701005 
