File,Reciprocal,,
POSCAR1,3381.63298,0.00563145, 
,3381.63298,0.00654749, 
,3381.63298,0.00638585, 
,3381.63298,0.00654758, 
,3381.63298,0.00674465, 
,3381.63298,0.00707145, 
,3381.63298,0.00693504, 
,3381.63298,0.00557022, 
,3381.63298,0.00455051, 
,3381.63298,0.00450254, 
 
 
POSCAR2,15490.95814,0.00929876, 
,15490.95814,0.00903352, 
,15490.95814,0.00896477, 
,15490.95814,0.00932371, 
,15490.95814,0.00899345, 
,15490.95814,0.00901926, 
,15490.95814,0.00903326, 
,15490.95814,0.00899641, 
,15490.95814,0.00952988, 
,15490.95814,0.01033295, 
 
 
POSCAR3,13705.57101,0.04665826, 
,13705.57101,0.03423874, 
,13705.57101,0.01599116, 
,13705.57101,0.01317445, 
,13705.57101,0.01326324, 
,13705.57101,0.01736818, 
,13705.57101,0.01323109, 
,13705.57101,0.01366897, 
,13705.57101,0.01326653, 
,13705.57101,0.01340867, 
 
 
POSCAR4,13784.36295,0.01830605, 
,13784.36295,0.01777660, 
,13784.36295,0.01782657, 
,13784.36295,0.01781447, 
,13784.36295,0.01776855, 
,13784.36295,0.01814725, 
,13784.36295,0.01773810, 
,13784.36295,0.01797626, 
,13784.36295,0.01781389, 
,13784.36295,0.01803768, 
 
 
POSCAR5,9307.49660,0.02188096, 
,9307.49660,0.02211255, 
,9307.49660,0.02255383, 
,9307.49660,0.02186053, 
,9307.49660,0.02467808, 
,9307.49660,0.02781458, 
,9307.49660,0.02191909, 
,9307.49660,0.02222910, 
,9307.49660,0.02179621, 
,9307.49660,0.02179385, 
 
 
POSCAR6,35871.69215,0.03362354, 
,35871.69215,0.03270907, 
,35871.69215,0.03241569, 
,35871.69215,0.03257302, 
,35871.69215,0.03465025, 
,35871.69215,0.03316125, 
,35871.69215,0.03312156, 
,35871.69215,0.03447923, 
,35871.69215,0.03362637, 
,35871.69215,0.03228719, 
 
 
POSCAR7,48971.53193,0.06361055, 
,48971.53193,0.06128874, 
,48971.53193,0.06117942, 
,48971.53193,0.06088159, 
,48971.53193,0.06081595, 
,48971.53193,0.06633522, 
,48971.53193,0.06227945, 
,48971.53193,0.06098228, 
,48971.53193,0.06683934, 
,48971.53193,0.06099306, 
 
 
POSCAR8,87544.72174,0.13018861, 
,87544.72174,0.12054165, 
,87544.72174,0.12033893, 
,87544.72174,0.13689196, 
,87544.72174,0.12361791, 
,87544.72174,0.12422589, 
,87544.72174,0.12746570, 
,87544.72174,0.12603666, 
,87544.72174,0.12198308, 
,87544.72174,0.12758875, 
 
 
POSCAR9,278800.60778,0.24602523, 
,278800.60778,0.25732745, 
,278800.60778,0.23534099, 
,278800.60778,0.23654854, 
,278800.60778,0.23534185, 
,278800.60778,0.23598046, 
,278800.60778,0.23552296, 
,278800.60778,0.23495661, 
,278800.60778,0.23778578, 
,278800.60778,0.23838293, 
 
 
POSCAR10,465020.56345,0.48400764, 
,465020.56345,0.47921105, 
,465020.56345,0.46630051, 
,465020.56345,0.48145874, 
,465020.56345,0.48284245, 
,465020.56345,0.47165012, 
,465020.56345,0.48765497, 
,465020.56345,0.47856034, 
,465020.56345,0.47590064, 
,465020.56345,0.49190127, 
 
 
POSCAR11,684719.79847,0.58541343, 
,684719.79847,0.57821011, 
,684719.79847,0.58062372, 
,684719.79847,0.58181461, 
,684719.79847,0.58216569, 
,684719.79847,0.58965154, 
,684719.79847,0.60119029, 
,684719.79847,0.58181258, 
,684719.79847,0.59606765, 
,684719.79847,0.61319276, 
 
 
POSCAR12,904859.27335,0.92094889, 
,904859.27335,0.92527274, 
,904859.27335,0.92521770, 
,904859.27335,0.93609815, 
,904859.27335,0.92346802, 
,904859.27335,0.91360081, 
,904859.27335,0.91178802, 
,904859.27335,0.90920068, 
,904859.27335,0.90934026, 
,904859.27335,0.90574267, 
 
 
POSCAR13,859801.31161,1.13434379, 
,859801.31161,1.13646980, 
,859801.31161,1.13319549, 
,859801.31161,1.13013472, 
,859801.31161,1.13584938, 
,859801.31161,1.13914750, 
,859801.31161,1.13112847, 
,859801.31161,1.13697440, 
,859801.31161,1.13562309, 
,859801.31161,1.13804832, 
 
 
POSCAR14,1942154.97351,1.42005517, 
,1942154.97351,1.41737069, 
,1942154.97351,1.43165240, 
,1942154.97351,1.42403845, 
,1942154.97351,1.41324692, 
,1942154.97351,1.41272017, 
,1942154.97351,1.41423324, 
,1942154.97351,1.42650724, 
,1942154.97351,1.41907924, 
,1942154.97351,1.41930967, 
 
 
