File,Reciprocal,,
POSCAR1,3381.63298,0.01130768, 
,3381.63298,0.01160596, 
,3381.63298,0.00958414, 
,3381.63298,0.01010364, 
,3381.63298,0.12274104, 
,3381.63298,0.03219378, 
,3381.63298,0.00897424, 
,3381.63298,0.01398992, 
,3381.63298,0.01254232, 
,3381.63298,0.01171937, 
 
 
POSCAR2,15490.95814,0.01779850, 
,15490.95814,0.02003197, 
,15490.95814,0.04185252, 
,15490.95814,0.02946927, 
,15490.95814,0.01863928, 
,15490.95814,0.01384126, 
,15490.95814,0.01696710, 
,15490.95814,0.01415370, 
,15490.95814,0.01408195, 
,15490.95814,0.01481334, 
 
 
POSCAR3,13705.57101,0.01679173, 
,13705.57101,0.01655755, 
,13705.57101,0.01666271, 
,13705.57101,0.01651782, 
,13705.57101,0.01626171, 
,13705.57101,0.02250540, 
,13705.57101,0.01855842, 
,13705.57101,0.01661236, 
,13705.57101,0.01831274, 
,13705.57101,0.01656957, 
 
 
POSCAR4,13784.36295,0.04151553, 
,13784.36295,0.01915017, 
,13784.36295,0.02765642, 
,13784.36295,0.02414605, 
,13784.36295,0.01968134, 
,13784.36295,0.02223740, 
,13784.36295,0.12227035, 
,13784.36295,0.03719044, 
,13784.36295,0.01806669, 
,13784.36295,0.01923411, 
 
 
POSCAR5,9307.49660,0.02621616, 
,9307.49660,0.02654045, 
,9307.49660,0.01957598, 
,9307.49660,0.02490959, 
,9307.49660,0.01992823, 
,9307.49660,0.02144214, 
,9307.49660,0.02075835, 
,9307.49660,0.02040431, 
,9307.49660,0.02293209, 
,9307.49660,0.02002647, 
 
 
POSCAR6,35871.69215,0.02672754, 
,35871.69215,0.03659077, 
,35871.69215,0.04642402, 
,35871.69215,0.05382787, 
,35871.69215,0.05776389, 
,35871.69215,0.02810530, 
,35871.69215,0.02686762, 
,35871.69215,0.03347745, 
,35871.69215,0.03388598, 
,35871.69215,0.02720475, 
 
 
POSCAR7,48971.53193,0.04710823, 
,48971.53193,0.05133944, 
,48971.53193,0.05385831, 
,48971.53193,0.05502355, 
,48971.53193,0.05527443, 
,48971.53193,0.07622898, 
,48971.53193,0.05860209, 
,48971.53193,0.04812854, 
,48971.53193,0.05241639, 
,48971.53193,0.05645260, 
 
 
POSCAR8,87544.72174,0.09500458, 
,87544.72174,0.10534046, 
,87544.72174,0.09752753, 
,87544.72174,0.11812240, 
,87544.72174,0.10185630, 
,87544.72174,0.11577916, 
,87544.72174,0.11393390, 
,87544.72174,0.09772156, 
,87544.72174,0.25145630, 
,87544.72174,0.11266928, 
 
 
POSCAR9,278800.60778,0.20994714, 
,278800.60778,0.19233334, 
,278800.60778,0.18826162, 
,278800.60778,0.18396775, 
,278800.60778,0.18196617, 
,278800.60778,0.18404744, 
,278800.60778,0.19108330, 
,278800.60778,0.18005877, 
,278800.60778,0.17737221, 
,278800.60778,0.18256082, 
 
 
POSCAR10,465020.56345,0.35287782, 
,465020.56345,0.35077352, 
,465020.56345,0.34967128, 
,465020.56345,0.39647022, 
,465020.56345,0.43002229, 
,465020.56345,0.39619164, 
,465020.56345,0.42356878, 
,465020.56345,0.36457916, 
,465020.56345,0.36486378, 
,465020.56345,0.34742328, 
 
 
POSCAR11,684719.79847,0.43316333, 
,684719.79847,0.43118786, 
,684719.79847,0.47002053, 
,684719.79847,0.64151727, 
,684719.79847,0.50596535, 
,684719.79847,0.43840440, 
,684719.79847,0.42258492, 
,684719.79847,0.45344595, 
,684719.79847,0.53305778, 
,684719.79847,0.47506182, 
 
 
POSCAR12,904859.27335,0.74573769, 
,904859.27335,0.67977826, 
,904859.27335,0.67148831, 
,904859.27335,0.67942284, 
,904859.27335,0.67476014, 
,904859.27335,0.66962311, 
,904859.27335,0.68283146, 
,904859.27335,0.68548551, 
,904859.27335,0.69011569, 
,904859.27335,0.68394353, 
 
 
POSCAR13,859801.31161,0.97776162, 
,859801.31161,0.99754756, 
,859801.31161,0.93820480, 
,859801.31161,0.87518333, 
,859801.31161,0.84488023, 
,859801.31161,0.84286531, 
,859801.31161,0.83954593, 
,859801.31161,0.89068222, 
,859801.31161,0.84730059, 
,859801.31161,0.85636306, 
 
 
POSCAR14,1942154.97351,1.07000210, 
,1942154.97351,1.08536403, 
,1942154.97351,1.09905462, 
,1942154.97351,1.14214894, 
,1942154.97351,1.20353539, 
,1942154.97351,1.24275506, 
,1942154.97351,1.18723603, 
,1942154.97351,1.19475100, 
,1942154.97351,1.20056006, 
,1942154.97351,1.21234730, 
 
 
