File,Self,,Real,,Reciprocal
POSCAR1,-8123.36180,0.00001630,3381.63298,0.00777595,1471.86159,0.00030232 
,-8123.36180,0.00001304,3381.63298,0.00768442,1471.86159,0.00030806 
,-8123.36180,0.00001298,3381.63298,0.00791774,1471.86159,0.00029925 
,-8123.36180,0.00001441,3381.63298,0.00773706,1471.86159,0.00030066 
,-8123.36180,0.00001202,3381.63298,0.00775435,1471.86159,0.00030292 
 
 
POSCAR2,-16246.72359,0.00001290,15490.95814,0.01101066,5449.13251,0.00117074 
,-16246.72359,0.00001236,15490.95814,0.01088548,5449.13251,0.00121405 
,-16246.72359,0.00001263,15490.95814,0.01073583,5449.13251,0.00117228 
,-16246.72359,0.00001286,15490.95814,0.01085655,5449.13251,0.00121597 
,-16246.72359,0.00001175,15490.95814,0.01088078,5449.13251,0.00117943 
 
 
POSCAR3,-24370.08539,0.00001233,13705.57101,0.01379787,1177.15783,0.00259220 
,-24370.08539,0.00001230,13705.57101,0.01367670,1177.15783,0.00260962 
,-24370.08539,0.00001186,13705.57101,0.01372939,1177.15783,0.00262851 
,-24370.08539,0.00001338,13705.57101,0.01400317,1177.15783,0.00271050 
,-24370.08539,0.00001426,13705.57101,0.01400763,1177.15783,0.00262063 
 
 
POSCAR4,-32493.44719,0.00001134,13784.36295,0.01771596,-4487.19446,0.00479668 
,-32493.44719,0.00001468,13784.36295,0.01763431,-4487.19446,0.00463300 
,-32493.44719,0.00001284,13784.36295,0.01713401,-4487.19446,0.00461224 
,-32493.44719,0.00001064,13784.36295,0.01720502,-4487.19446,0.00462555 
,-32493.44719,0.00001081,13784.36295,0.01698048,-4487.19446,0.00462551 
 
 
POSCAR5,-40616.80898,0.00001256,9307.49660,0.02035737,-3841.81153,0.00719984 
,-40616.80898,0.00001198,9307.49660,0.02012580,-3841.81153,0.00728235 
,-40616.80898,0.00001196,9307.49660,0.02004203,-3841.81153,0.00727206 
,-40616.80898,0.00001084,9307.49660,0.01980247,-3841.81153,0.00717777 
,-40616.80898,0.00001138,9307.49660,0.02001997,-3841.81153,0.00725134 
 
 
POSCAR6,-60925.21347,0.00001149,35871.69215,0.02777758,4128.04785,0.01626683 
,-60925.21347,0.00001449,35871.69215,0.02763663,4128.04785,0.01622860 
,-60925.21347,0.00001395,35871.69215,0.02788399,4128.04785,0.01613902 
,-60925.21347,0.00001196,35871.69215,0.02826691,4128.04785,0.01617930 
,-60925.21347,0.00001283,35871.69215,0.02762697,4128.04785,0.01622851 
 
 
POSCAR7,-121850.42694,0.00001244,48971.53193,0.05195076,1324.09249,0.06484439 
,-121850.42694,0.00001307,48971.53193,0.05490970,1324.09249,0.06513492 
,-121850.42694,0.00003078,48971.53193,0.05238321,1324.09249,0.06472401 
,-121850.42694,0.00001377,48971.53193,0.05233268,1324.09249,0.06488467 
,-121850.42694,0.00001440,48971.53193,0.05161980,1324.09249,0.06488864 
 
 
POSCAR8,-243700.85389,0.00001478,87544.72174,0.09894435,-133083.56811,0.25906132 
,-243700.85389,0.00001505,87544.72174,0.09894692,-133083.56811,0.25777353 
,-243700.85389,0.00001665,87544.72174,0.09902009,-133083.56811,0.25768477 
,-243700.85389,0.00001708,87544.72174,0.09873995,-133083.56811,0.25795014 
,-243700.85389,0.00001491,87544.72174,0.09904191,-133083.56811,0.25841899 
 
 
POSCAR9,-487401.70778,0.00001533,278800.60778,0.19606892,146797.13467,1.03836567 
,-487401.70778,0.00002523,278800.60778,0.19713325,146797.13467,1.07195433 
,-487401.70778,0.00002038,278800.60778,0.19900712,146797.13467,1.03845540 
,-487401.70778,0.00001514,278800.60778,0.19756837,146797.13467,1.03110009 
,-487401.70778,0.00001498,278800.60778,0.19513717,146797.13467,1.03215743 
 
 
POSCAR10,-974803.41556,0.00001803,465020.56345,0.38940013,56934.83060,4.13475926 
,-974803.41556,0.00002100,465020.56345,0.39012650,56934.83060,4.13914781 
,-974803.41556,0.00001775,465020.56345,0.38975598,56934.83060,4.13803129 
,-974803.41556,0.00001724,465020.56345,0.38787889,56934.83060,4.13911455 
,-974803.41556,0.00001659,465020.56345,0.38745597,56934.83061,4.12902140 
 
 
POSCAR11,-1218504.26945,0.00001680,684719.79847,0.48755424,-122577.45535,6.45574542 
,-1218504.26945,0.00001884,684719.79847,0.48619482,-122577.45535,6.45565052 
,-1218504.26945,0.00001948,684719.79847,0.48721807,-122577.45535,6.55140281 
,-1218504.26945,0.00002153,684719.79847,0.53829004,-122577.45535,6.95600610 
,-1218504.26945,0.00001815,684719.79847,0.53710897,-122577.45535,6.93189884 
 
 
POSCAR12,-1949606.83112,0.00002056,904859.27335,0.84332553,-2450596.26780,17.66997308 
,-1949606.83112,0.00001804,904859.27335,0.84509442,-2450596.26781,17.62349201 
,-1949606.83112,0.00001972,904859.27335,0.84454397,-2450596.26777,17.61092837 
,-1949606.83112,0.00001730,904859.27335,0.86672065,-2450596.26778,17.69828585 
,-1949606.83112,0.00001816,904859.27335,0.84479350,-2450596.26778,17.58973277 
 
 
POSCAR13,-2437008.53890,0.00001955,859801.31161,1.06100939,-894422.44115,27.53397791 
,-2437008.53890,0.00002660,859801.31161,1.05848196,-894422.44117,27.44865133 
,-2437008.53890,0.00001779,859801.31161,1.05999646,-894422.44112,27.48530818 
,-2437008.53890,0.00002137,859801.31161,1.05448909,-894422.44111,27.52813928 
,-2437008.53890,0.00002377,859801.31161,1.06516142,-894422.44118,27.50842177 
 
 
POSCAR14,-3046260.67362,0.00002267,1942154.97351,1.37190695,158642.06826,43.07220394 
,-3046260.67362,0.00002012,1942154.97351,1.34604403,158642.06819,43.20626420 
,-3046260.67362,0.00002417,1942154.97351,1.32432306,158642.06824,43.95257562 
,-3046260.67362,0.00002162,1942154.97351,1.32778248,158642.06825,43.54745317 
,-3046260.67362,0.00002677,1942154.97351,1.39894205,158642.06821,43.62048314 
 
 
