File,Self,,Real,,Reciprocal
POSCAR1,-8123.36180,0.00001530,3381.63298,0.01858299,1471.86159,0.00045323 
,-8123.36180,0.00001258,3381.63298,0.01900417,1471.86159,0.00044569 
,-8123.36180,0.00001168,3381.63298,0.01855636,1471.86159,0.00042020 
,-8123.36180,0.00001074,3381.63298,0.01857378,1471.86159,0.00044025 
,-8123.36180,0.00001325,3381.63298,0.01868423,1471.86159,0.00042583 
 
 
POSCAR2,-16246.72359,0.00001130,15490.95814,0.03707525,5449.13251,0.00124643 
,-16246.72359,0.00001157,15490.95814,0.03734503,5449.13251,0.00121407 
,-16246.72359,0.00001101,15490.95814,0.04535094,5449.13251,0.02745811 
,-16246.72359,0.00001819,15490.95814,0.03913828,5449.13251,0.00133724 
,-16246.72359,0.00001663,15490.95814,0.03985610,5449.13251,0.00124135 
 
 
POSCAR3,-24370.08539,0.00001382,13705.57101,0.05955932,1177.15783,0.01311464 
,-24370.08539,0.00001155,13705.57101,0.05698683,1177.15783,0.00748929 
,-24370.08539,0.00001552,13705.57101,0.05596747,1177.15783,0.00479346 
,-24370.08539,0.00001269,13705.57101,0.05574130,1177.15783,0.00257215 
,-24370.08539,0.00001282,13705.57101,0.05599377,1177.15783,0.00253947 
 
 
POSCAR4,-32493.44719,0.00001273,13784.36295,0.07797978,-4487.19446,0.00589905 
,-32493.44719,0.00001304,13784.36295,0.08017091,-4487.19446,0.00447506 
,-32493.44719,0.00001407,13784.36295,0.08008603,-4487.19446,0.00438871 
,-32493.44719,0.00001347,13784.36295,0.07801366,-4487.19446,0.00437619 
,-32493.44719,0.00001871,13784.36295,0.07999095,-4487.19446,0.00496295 
 
 
POSCAR5,-40616.80898,0.00001835,9307.49660,0.10368635,-3841.81153,0.00672696 
,-40616.80898,0.00002200,9307.49660,0.10024882,-3841.81153,0.00733722 
,-40616.80898,0.00001622,9307.49660,0.09774630,-3841.81153,0.00696018 
,-40616.80898,0.00001433,9307.49660,0.10080676,-3841.81153,0.00949827 
,-40616.80898,0.00001380,9307.49660,0.09557078,-3841.81153,0.00699940 
 
 
POSCAR6,-60925.21347,0.00001511,35871.69215,0.14156993,4128.04785,0.01480478 
,-60925.21347,0.00001692,35871.69215,0.13883373,4128.04785,0.01482068 
,-60925.21347,0.00001554,35871.69215,0.13816534,4128.04785,0.01507174 
,-60925.21347,0.00001358,35871.69215,0.13857734,4128.04785,0.01568699 
,-60925.21347,0.00001534,35871.69215,0.13846164,4128.04785,0.01478794 
 
 
POSCAR7,-121850.42694,0.00001968,48971.53193,0.27769876,1324.09249,0.05852532 
,-121850.42694,0.00001424,48971.53193,0.27597523,1324.09249,0.05846901 
,-121850.42694,0.00001427,48971.53193,0.27782136,1324.09249,0.05861625 
,-121850.42694,0.00001413,48971.53193,0.27633878,1324.09249,0.05857122 
,-121850.42694,0.00001365,48971.53193,0.27689857,1324.09249,0.05852978 
 
 
POSCAR8,-243700.85389,0.00001419,87544.72174,0.55245654,-133083.56811,0.23302583 
,-243700.85389,0.00001506,87544.72174,0.55348493,-133083.56811,0.23734282 
,-243700.85389,0.00002695,87544.72174,0.59292702,-133083.56811,0.23373172 
,-243700.85389,0.00001821,87544.72174,0.58691222,-133083.56811,0.23875087 
,-243700.85389,0.00002914,87544.72174,0.59953305,-133083.56811,0.23505157 
 
 
POSCAR9,-487401.70778,0.00001553,278800.60778,1.11569629,146797.13467,0.94426657 
,-487401.70778,0.00002214,278800.60778,1.13129270,146797.13467,0.93304499 
,-487401.70778,0.00001713,278800.60778,1.11716917,146797.13467,0.94733015 
,-487401.70778,0.00002084,278800.60778,1.12430612,146797.13467,0.93455979 
,-487401.70778,0.00001950,278800.60778,1.11689459,146797.13467,0.93275136 
 
 
POSCAR10,-974803.41556,0.00001967,465020.56345,2.23729003,56934.83060,3.73340929 
,-974803.41556,0.00001846,465020.56345,2.23386903,56934.83060,3.73445892 
,-974803.41556,0.00001983,465020.56345,2.21735049,56934.83060,3.73585573 
,-974803.41556,0.00001852,465020.56345,2.22993439,56934.83060,3.74445443 
,-974803.41556,0.00001687,465020.56345,2.22166569,56934.83060,3.73271232 
 
 
POSCAR11,-1218504.26945,0.00001742,684719.79847,2.76922044,-122577.45535,5.82643616 
,-1218504.26945,0.00002001,684719.79847,2.77393056,-122577.45535,5.87138873 
,-1218504.26945,0.00002091,684719.79847,2.84054575,-122577.45535,5.87305221 
,-1218504.26945,0.00001983,684719.79847,2.87573537,-122577.45535,5.87296385 
,-1218504.26945,0.00002398,684719.79847,2.79457332,-122577.45535,5.89070035 
 
 
POSCAR12,-1949606.83112,0.00003336,904859.27335,4.50825681,-2450596.26780,15.11890399 
,-1949606.83112,0.00001611,904859.27335,4.44323113,-2450596.26780,15.44931037 
,-1949606.83112,0.00001836,904859.27335,4.43725639,-2450596.26780,15.65328077 
,-1949606.83112,0.00002218,904859.27335,4.44703714,-2450596.26780,15.44329821 
,-1949606.83112,0.00001955,904859.27335,4.45073745,-2450596.26780,15.53682901 
 
 
POSCAR13,-2437008.53890,0.00002785,859801.31161,5.71496422,-894422.44112,24.56247558 
,-2437008.53890,0.00001944,859801.31161,5.55186087,-894422.44112,24.68954911 
,-2437008.53890,0.00002574,859801.31161,5.56986981,-894422.44112,24.57975769 
,-2437008.53890,0.00001838,859801.31161,5.57112870,-894422.44112,24.56023338 
,-2437008.53890,0.00002531,859801.31161,5.58650269,-894422.44112,24.51611095 
 
 
POSCAR14,-3046260.67362,0.00002441,1942154.97351,6.94488700,158642.06832,38.70462575 
,-3046260.67362,0.00002386,1942154.97351,6.92174787,158642.06833,38.76550897 
,-3046260.67362,0.00002043,1942154.97351,6.94233882,158642.06832,38.82952519 
,-3046260.67362,0.00002473,1942154.97351,6.98723847,158642.06832,38.90952771 
,-3046260.67362,0.00002697,1942154.97351,7.22699248,158642.06834,39.24688453 
 
 
