File,Reciprocal,,Real
POSCAR1,3381.63298,0.00827281,1471.86159,0.00041071 
,3381.63298,0.00755312,1471.86159,0.00039975 
,3381.63298,0.00715173,1471.86159,0.00039987 
,3381.63298,0.00695751,1471.86159,0.00039822 
,3381.63298,0.00717595,1471.86159,0.00040303 
,3381.63298,0.00699038,1471.86159,0.00039825 
,3381.63298,0.00718875,1471.86159,0.00040062 
,3381.63298,0.00696287,1471.86159,0.00040475 
,3381.63298,0.00716421,1471.86159,0.00040046 
,3381.63298,0.00728216,1471.86159,0.00039851 
 
 
POSCAR2,15490.95814,0.01111730,5449.13251,0.00157142 
,15490.95814,0.01153906,5449.13251,0.00156742 
,15490.95814,0.01123025,5449.13251,0.00158709 
,15490.95814,0.01136148,5449.13251,0.00157148 
,15490.95814,0.01166389,5449.13251,0.00157976 
,15490.95814,0.01147261,5449.13251,0.00157872 
,15490.95814,0.01101386,5449.13251,0.00156327 
,15490.95814,0.01122187,5449.13251,0.00157103 
,15490.95814,0.01114418,5449.13251,0.00156605 
,15490.95814,0.01119816,5449.13251,0.00156680 
 
 
POSCAR3,13705.57101,0.01491917,1177.15783,0.00351339 
,13705.57101,0.01503921,1177.15783,0.00350579 
,13705.57101,0.01457058,1177.15783,0.00349740 
,13705.57101,0.01497559,1177.15783,0.00350792 
,13705.57101,0.01478554,1177.15783,0.00350796 
,13705.57101,0.01491286,1177.15783,0.00352447 
,13705.57101,0.01491220,1177.15783,0.00351075 
,13705.57101,0.01507581,1177.15783,0.00351035 
,13705.57101,0.01521660,1177.15783,0.00351144 
,13705.57101,0.01499414,1177.15783,0.00352727 
 
 
POSCAR4,13784.36295,0.01918097,-4487.19446,0.00626153 
,13784.36295,0.01915907,-4487.19446,0.00622349 
,13784.36295,0.02047521,-4487.19446,0.00625799 
,13784.36295,0.01900984,-4487.19446,0.00624012 
,13784.36295,0.01888361,-4487.19446,0.00624478 
,13784.36295,0.01925302,-4487.19446,0.00625258 
,13784.36295,0.01891340,-4487.19446,0.00623662 
,13784.36295,0.01872918,-4487.19446,0.00625608 
