File,Reciprocal,,
POSCAR1,3381.63298,0.02750025, 
,3381.63298,0.02533756, 
,3381.63298,0.02654714, 
,3381.63298,0.02712421, 
,3381.63298,0.02659435, 
,3381.63298,0.03593110, 
,3381.63298,0.04825659, 
,3381.63298,0.03705194, 
,3381.63298,0.03051273, 
,3381.63298,0.03337025, 
 
 
POSCAR2,15490.95814,0.04754414, 
,15490.95814,0.04510584, 
,15490.95814,0.04187326, 
,15490.95814,0.04174212, 
,15490.95814,0.04138552, 
,15490.95814,0.04411874, 
,15490.95814,0.04424153, 
,15490.95814,0.08930498, 
,15490.95814,0.04831417, 
,15490.95814,0.04470939, 
 
 
POSCAR3,13705.57101,0.06796709, 
,13705.57101,0.07512238, 
,13705.57101,0.06664549, 
,13705.57101,0.06494428, 
,13705.57101,0.06538655, 
,13705.57101,0.07050112, 
,13705.57101,0.06464399, 
,13705.57101,0.07422610, 
,13705.57101,0.06957895, 
,13705.57101,0.07075877, 
 
 
POSCAR4,13784.36295,0.14674264, 
,13784.36295,0.09760756, 
,13784.36295,0.10736133, 
,13784.36295,0.08852788, 
,13784.36295,0.09707713, 
,13784.36295,0.09714582, 
,13784.36295,0.09181279, 
,13784.36295,0.08518200, 
,13784.36295,0.09713330, 
,13784.36295,0.20946748, 
 
 
POSCAR5,9307.49660,0.16653660, 
,9307.49660,0.13492099, 
,9307.49660,0.18118458, 
,9307.49660,0.11125241, 
,9307.49660,0.12332892, 
,9307.49660,0.16085494, 
,9307.49660,0.09719946, 
,9307.49660,0.13012203, 
,9307.49660,0.13735253, 
,9307.49660,0.09795817, 
 
 
POSCAR6,35871.69215,0.18734644, 
,35871.69215,0.15052037, 
,35871.69215,0.15643324, 
,35871.69215,0.15352305, 
,35871.69215,0.15882789, 
,35871.69215,0.15105336, 
,35871.69215,0.13818482, 
,35871.69215,0.16448925, 
,35871.69215,0.14823443, 
,35871.69215,0.15700040, 
 
 
POSCAR7,48971.53193,0.30660105, 
,48971.53193,0.33353297, 
,48971.53193,0.28681354, 
,48971.53193,0.27365612, 
,48971.53193,0.28485587, 
,48971.53193,0.34257222, 
,48971.53193,0.50172362, 
,48971.53193,0.33073217, 
,48971.53193,0.31369957, 
,48971.53193,0.30888124, 
 
 
POSCAR8,87544.72174,0.63025348, 
,87544.72174,0.53742529, 
,87544.72174,0.56558759, 
,87544.72174,0.55600165, 
,87544.72174,0.65636145, 
,87544.72174,0.61453079, 
,87544.72174,0.69234789, 
,87544.72174,0.51694794, 
,87544.72174,0.56363034, 
,87544.72174,0.73447689, 
 
 
POSCAR9,278800.60778,1.12274369, 
,278800.60778,1.08770792, 
,278800.60778,1.27572539, 
,278800.60778,1.10111191, 
,278800.60778,1.28864056, 
,278800.60778,1.07464242, 
,278800.60778,1.19145712, 
,278800.60778,1.08441316, 
,278800.60778,1.07210767, 
,278800.60778,1.16214569, 
 
 
POSCAR10,465020.56345,2.43748368, 
,465020.56345,2.39062032, 
,465020.56345,2.09504689, 
,465020.56345,2.03620309, 
,465020.56345,2.08676768, 
,465020.56345,2.37552448, 
,465020.56345,2.25928182, 
,465020.56345,2.34723716, 
,465020.56345,2.25442469, 
,465020.56345,2.55300581, 
 
 
POSCAR11,684719.79847,3.33616523, 
,684719.79847,2.88365443, 
,684719.79847,2.85652010, 
,684719.79847,2.72809812, 
,684719.79847,2.73152783, 
,684719.79847,2.57557432, 
,684719.79847,3.21974359, 
,684719.79847,2.61620687, 
,684719.79847,2.48834816, 
,684719.79847,2.77107461, 
 
 
POSCAR12,904859.27335,4.68017772, 
,904859.27335,4.35497805, 
,904859.27335,4.42535652, 
,904859.27335,4.08797217, 
,904859.27335,4.66373852, 
,904859.27335,4.31741755, 
,904859.27335,4.66658540, 
,904859.27335,3.99080714, 
,904859.27335,4.36171393, 
,904859.27335,4.12786154, 
 
 
POSCAR13,859801.31161,5.13424844, 
,859801.31161,5.70016289, 
,859801.31161,5.97097200, 
,859801.31161,5.38865607, 
,859801.31161,6.03505688, 
,859801.31161,5.16254495, 
,859801.31161,5.19818177, 
,859801.31161,5.61320804, 
,859801.31161,5.40337566, 
,859801.31161,5.33116457, 
 
 
POSCAR14,1942154.97351,6.49219217, 
,1942154.97351,6.67807242, 
,1942154.97351,6.10882450, 
,1942154.97351,6.69245865, 
,1942154.97351,6.45282433, 
,1942154.97351,6.07403660, 
,1942154.97351,6.13376348, 
,1942154.97351,6.71175515, 
,1942154.97351,6.70666381, 
,1942154.97351,6.24748346, 
 
 
